Time,Theta1,Theta2,Theta1_dot,Theta2_dot
0,0,0,-0.00606235955049665,0.00771573033686599
0.001,-6.06235955049665e-06,7.71573033686599e-06,-0.0121247190987592,0.0154314606661896
0.002,-2.42494381975185e-05,3.08629213323792e-05,-0.024249438175178,0.0308629212569555
0.003,-5.45612359008527e-05,6.94415728507769e-05,-0.0363741571532986,0.0462943815158568
0.004,-9.69977525041157e-05,0.000123451684364093,-0.0484988758499291,0.0617258408244191
0.005,-0.000151558987600711,0.000192893254499615,-0.060623593921026,0.0771572980211167
0.006,-0.000218244940346168,0.000277766280406326,-0.0727483108080775,0.0925887512203571
0.007,-0.000297055609216866,0.000378070756940329,-0.0848730256844863,0.108020197631464
0.008,-0.00038799099171514,0.000493806675669255,-0.0969977374019537,0.123451633377665
0.009,-0.000491051084020773,0.00062497402369566,-0.109122444436863,0.138883053315076
0.01,-0.000606235880588867,0.000771572782299407,-0.121247144836667,0.154314450851694
0.011,-0.000733545373694107,0.000933602925399046,-0.133371836166271,0.169745817766392
0.012,-0.000872979552921409,0.00111106441783219,-0.145496515454426,0.185177144027924
0.013,-0.00102453840460296,0.00130395721345489,-0.157621179140118,0.200608417613934
0.014,-0.00118822191120165,0.00151228125306006,-0.169745823018966,0.216039624329984
0.015,-0.00136403005064089,0.00173603646211486,-0.181870442189621,0.23147074762859
0.016,-0.00155196279558089,0.00197522274831724,-0.193995031000175,0.246901768428288
0.017,-0.00175202011264124,0.00222983999897144,-0.206119582994578,0.262332664932721
0.018,-0.00196420196157005,0.00249988807818268,-0.218244090859062,0.277763412449755
0.019,-0.00218850829435937,0.00278536682387095,-0.230368546368578,0.293193983210634
0.02,-0.0024249390543072,0.00308627604460395,-0.242492940333251,0.308624346189189
0.021,-0.00267349417502587,0.00340261551624933,-0.254617262544848,0.324054466921089
0.022,-0.0029341735793969,0.00373438497844613,-0.266741501723268,0.33948430732316
0.023,-0.00320697717847241,0.00408158413089565,-0.278865645463055,0.354913825512784
0.024,-0.00349190487032301,0.0044442126294717,-0.290989680179939,0.370342975627378
0.025,-0.00378895653883228,0.0048222700821504,-0.303113591057407,0.385771707643967
0.026,-0.00409813205243782,0.00521575604475963,-0.315237361993312,0.401199967198885
0.027,-0.00441943126281891,0.00562467001654817,-0.327360975546516,0.416627695407582
0.028,-0.00475285400353086,0.00604901143557479,-0.33948441288359,0.432054828684598
0.029,-0.00509840008858609,0.00648877967391737,-0.351607653725559,0.447481298563688
0.03,-0.00545606931098197,0.00694397403270217,-0.363730676294697,0.462907031518118
0.031,-0.00582586144117548,0.0074145937369536,-0.375853457261402,0.478331948781191
